Marýa [%];Prowizja [%];RRSO [%];Kwota do sp¸aty [PLN];Koszt miesi«czny [PLN];Wk¸ad w¸asny [%]
1.65;0.00;4.24;631354.00;2066.00;20.00
1.70;0.00;5.28;687572.00;2183.00;20.00
1.84;0.00;5.09;684438.00;2214.00;20.00
1.85;0.00;5.16;687553.00;2255.00;20.00
2.04;1.99;5.28;698719.00;2264.00;20.00
1.99;1.00;5.04;687221.00;2274.00;20.00
1.89;1.25;5.42;704552.00;2314.00;20.00
2.08;0.00;5.74;722845.00;2345.00;20.00
2.19;2.20;5.83;734270.00;2369.00;20.00
2.10;0.00;6.02;731919.00;2482.00;20.00
2.09;0.00;4.80;679200.00;2264.00;41.00
1.70;1.80;5.11;687300.00;2291.00;41.00
1.99;2.00;4.90;672300.00;2241.00;41.00
2.00;0.00;4.75;676500.00;2255.00;41.00
1.89;1.99;5.65;704100.00;2347.00;41.00
2.00;0.00;4.80;679200.00;2264.00;41.00
1.99;0.00;5.44;722400.00;2408.00;41.00
1.96;0.00;5.92;711300.00;2371.00;41.00
1.95;0.00;5.58;711300.00;2371.00;41.00
1.94;2.00;6.08;750300.00;2501.00;41.00
2.10;0.00;5.52;714600.00;2382.00;41.00
2.00;4.00;5.05;697225.53;2324.09;20.00
2.04;1.99;4.19;640615.06;2135.38;20.00
1.97;1.90;4.08;634016.39;2113.39;20.00
2.00;3.50;4.05;631810.69;2106.04;20.00
2.10;1.00;3.88;621149.74;2070.50;20.00
1.89;1.50;3.82;617626.33;2058.75;20.00
1.99;0.00;3.79;615651.93;2052.17;20.00
1.95;1.50;3.72;611066.75;2036.89;20.00
1.70;0.00;3.68;608498.85;2020.33;20.00
2.33;0.00;2.80;473508.00;1578.36;20.00
1.99;1.89;3.70;526527.00;1755.09;20.00
0.00;2.10;2.54;528882.00;1762.94;20.00
2.00;2.10;4.11;539376.00;1797.92;20.00
3.50;2.29;4.66;559059.00;1863.53;20.00
2.00;3.60;5.01;637989.00;2126.63;20.00
1.85;0.00;4.62;664956.00;2216.52;20.00
2.39;2.00;5.38;702207.00;2340.69;20.00
1.85;0.00;4.62;665100.00;2217.00;20.00
1.89;1.25;4.77;667800.00;2226.00;20.00
1.89;0.00;4.64;667800.00;2226.00;20.00
2.00;0.00;4.77;675300.00;2251.00;20.00
2.09;0.00;4.86;681300.00;2271.00;20.00
2.10;0.00;4.87;682200.00;2274.00;20.00
1.89;1.25;5.07;689700.00;2299.00;20.00
1.96;0.00;5.04;694500.00;2315.00;20.00
2.29;2.00;5.33;695100.00;2317.00;20.00
2.39;2.00;5.37;702300.00;2341.00;20.00
2.29;2.00;5.61;717600.00;2392.00;20.00
2.10;0.00;4.73;682761.00;2275.87;20.00
2.04;1.99;4.98;692136.00;2307.12;20.00
2.39;2.00;5.35;716964.00;2389.88;20.00
